Codigo;Nombre;Direccion_Fisica;Fk_Id_Municipio_CT
101;SERVICIOS MEDICOS;;2288
104;SERVICIOS MEDICOS;;2123
105;SERVICIOS MEDICOS;;2208
106;SERVICIOS MEDICOS;;2095
107;SERVICIOS MEDICOS EL PLAN;;2187
108;SERVICIOS MEDICOS;;2205
111;SERVICIOS MEDICOS;;1973
112;SERVICIOS MEDICOS CIUDAD PEMEX;;1980
113;SERVICIOS MEDICOS;;172
114;SERVICIOS MEDICOS DOS BOCAS;;1982
115;SERVICIOS MEDICOS;;432
116;SERVICIOS MEDICOS;;527
117;SERVICIOS MEDICOS;;2054
118;SERVICIOS MEDICOS;;960
119;SERVICIOS MEDICOS;;2201
120;SERVICIOS MEDICOS;;1085
136;SERVICIOS MEDICOS;;2225
137;SERVICIOS MEDICOS;;2138
138;SERVICIOS MEDICOS;;2077
139;SERVICIOS MEDICOS VILLAHERMOSA;;1972
140;SERVICIOS MEDICOS CIUDAD DEL CARMEN;;216
142;TECNOLOGIAS DE LA INFORMACION TI CATALINA;;1647
146;TECNOLOGIAS DE LA INFORMACION TI;;2123
153;TECNOLOGIAS DE LA INFORMACION TI;;992
156;TECNOLOGIAS DE LA INFORMACION TI CIUDAD PEMEX;;1980
159;TECNOLOGIAS DE LA INFORMACION TI TERRESTRE CIUDAD DEL CARMEN;;216
164;TECNOLOGIAS DE LA INFORMACION TI;;2201
187;TECNOLOGIAS DE LA INFORMACION TI;;2225
188;TECNOLOGIAS DE LA INFORMACION TI;;2138
190;TECNOLOGIAS DE LA INFORMACION TI VILLAHERMOSA;;1972
198;SERVICIOS MEDICOS;;461
203;DIVISION NORTE DE PERFORACION;;2225
205;DIVISION MARINA DE PERFORACION CIUDAD DEL CARMEN;;216
206;UNIDAD OPERATIVA DE PERFORACION;;2077
207;AREA ALEJADA;;2048
208;UNIDAD OPERATIVA DE PERFORACION;;2225
209;SUBDIRECCION DE MANTENIMIENTO Y LOGISTICA;;
210;SECTOR OPERATIVO DE PERFORACION;;2288
211;UNIDAD OPERATIVA DE PERFORACION;;1973
213;UNIDAD OPERATIVA DE PERFORACION;;172
214;SECTOR OPERATIVO DE PERFORACION;;1970
215;UNIDAD OPERATIVA DE PERFORACION KU-MALOOB-ZAAP;;
