Fk_Id_Direcciones;Clave;Nombre
1;SDE;SUBDIRECCION DE EXPLORACION
1;SDEECA;SUBDIRECCION DE EXPLORACION Y EXTRACCION POR CONTRATOS Y ASOCIACIONES
1;SDERMN;SUBDIRECCION DE EXTRACCION REGION MARINA NORESTE
1;SDERMS;SUBDIRECCION DE EXTRACCION REGION MARINA SUROESTE
1;SDERTS;SUBDIRECCION DE EXTRACCION REGION TERRESTRE SUR
1;SDERTN;SUBDIRECCION DE EXTRACCION REGION TERRESTRE NORTE
1;SDMEEL;SUBDIRECCION DE MANTENIMIENTO ESTATICO Y LOGISTICA
1;SDTEE;SUBDIRECCION TECNICA DE EXPLORACION Y EXTRACCION
1;SDAEE;SUBDIRECCION DE ADMINISTRACION DE EXPLORACION Y EXTRACCION
1;SDSSTPA;SUBDIRECCION DE SEGURIDAD SALUD EN EL TRABAJO Y PROTECCION AMBIENTAL
1;SDIEP;SUBDIRECCION DE DISEÑO INGENIERIA Y EJECUCION DE PROYECTO
1;SDPTMP;SUBDIRECCION DE PERFORACION TERMINACION Y MANTENIMIENTO DE POZOS
2;SDPP;SUBDIRECCION DE PRODUCCION DE PETROLIFEROS
2;SDPPS;SUBDIRECCION DE PRODUCCION DE PETROQUIMICA SECUNDARIA
2;SDPEO;SUBDIRECCION DE PLANEACION Y EVALUACION OPERATIVA
2;SDAPP;SUBDIRECCION DE ABASTO DE PETROLIFEROS Y PETROQUIMICOS
2;SDPI;SUBDIRECCION DE PROYECTOS INDUSTRIALES
2;SDSIPA;SUBDIRECCION DE SEGURIDAD INDUSTRIAL Y PROTECCION AMBIENTAL
2;SDF;SUBDIRECCION DE FERTILIZANTES
3;SDPGD;SUBDIRECCION DE PROCESOS DE GAS Y DERIVADOS
3;SDE;SUBDIRECCION DE ELECTRICIDAD
3;SDTEA;SUBDIRECCION DE TECNOLOGIAS Y ENERGIAS ALTERNATIVAS
3;SDG;SUBDIRECCION DE GEOENERGIAS
4;SDTLP; SUBDIRECCION DE TRATAMIENTO Y LOGISTICA PRIMARIA
4;SDT;SUBDIRECCION DE TRANSPORTE
4;SDA;SUBDIRECCION DE ALMACENAMIENTO
4;SDSESFI;SUBDIRECCION DE SALVAGUARDIA ESTRATEGICA SEGURIDAD FISICA E INDUSTRIAL
4;SDRMCBSO;SUBDIRECCION DE REGULACION MEDICION CALIDAD BALANCES Y SOPORTE OPERATIVO
5;SDEPIC;SUBDIRECCION DE ESTRATEGIA PRECIOS E INTELIGENCIA COMERCIAL
5;SDCCTH;SUBDIRECCION DE COMERCIALIZACION DE COMBUSTIBLES DE TRANSPORTE E HIDROCARBUROS
5;SDCPCI;SUBDIRECCION DE COMERCIALIZACION DE PRODUCTOS Y COMBUSTIBLES INDUSTRIALES
6;SDP;SUBDIRECCION DE PRESUPUESTO
6;SDCF;SUBDIRECCION DE CONTABILIDAD Y FISCAL
6;SDT;SUBDIRECCION DE TESORERIA
6;SDARAAEF;SUBDIRECCION DE ADMINISTRACION DE RIESGOS ASEGURAMIENTO Y ANALISIS ECONOMICO FINANCIERO
6;SDCFSAF;SUBDIRECCION DE COORDINACION FINANCIERA Y SEGUIMIENTO A EMPRESAS FILIALES
7;SDA;SUBDIRECCION DE ABASTECIMIENTO
7;SDCH;SUBDIRECCION DE CAPITAL HUMANO
7;SDSS;SUBDIRECCION DE SERVICIOS DE SALUD
7;SDSAB;SUBDIRECCION DE SERVICIOS Y ADMINISTRACION DE BIENES
7;SSDTIC;SUBDIRECCION DE TECNOLOGIAS DE LA INFORMACION Y COMUNICACIONES
7;SDCCSAS;COORDINACION DE CONTROL Y SOPORTE DE ADMINISTRACION Y SERVICIOS
7;SDGRS;GERENCIA DE RESPONSABILIDAD SOCIAL
7;SDGIDH;GERENCIA DE INCLUSION Y DERECHOS HUMANOS
7;SDGEL;GERENCIA DE ENLACE LEGISLATIVO
7;SDGECA;GERENCIA DE ENLACE PARA EL CONSEJO DE ADMINISTRACION
7;SDGCM;GERENCIA DE COMUNICACION Y MERCADOTECNIA
8;SDJCC;SUBDIRECCION JURIDICA CONSULTIVA Y DE CONTRATOS
8;SDJAE;SUBDIRECCION JURIDICA DE ASUNTOS ESPECIALES
8;SDJC;SUBDIRECCION JURIDICA CONTENCIOSA
9;SDPEAR;SUBDIRECCION DE PLANEACION ESTRATEGICA Y ANALISIS REGULATORIO
9;SDEEI;SUBDIRECCION DE EJECUCION DE LA ESTRATEGIA DE INVERSIONES
9;SDPCEII;SUBDIRECCION DE PROGRAMACION COORDINACION EVALUACION E INFORMACION INSTITUCIONAL
9;SDSSGAEC;SUBDIRECCION DE SEGURIDAD SALUD GESTION AMBIENTAL ENERGETICA Y CONFIABILIDAD
9;SDCII;SUBDIRECCION DE CONTROL INTERNO INSTITUCIONAL
9;SDGS;GERENCIA DE SOSTENIBILIDAD
10;SDGAP;GERENCIA DE AUDITORIA A PEMEX
10;SDGAFLTI;GERENCIA DE AUDITORIA A FILIALES LEGALIDAD Y TECNOLOGIAS DE LA INFORMACION
10;SDGAEE;GERENCIA DE AUDITORIA A EXPLORACION Y EXTRACCION
10;SDAPITEL;GERENCIA DE AUDITORIA A PROCESOS INDUSTRIALES TRANSFORMACION ENERGETICA Y LOGISTICA
10;SDGEIR;GERENCIA DE ENLACE CON INSTANCIAS REVISORAS
