Codigo;Nombre;Fk_Id_Pais
AGS;AGUASCALIENTES;1
BC;BAJA CALIFORNIA;1
BCS;BAJA CALIFORNIA SUR;1
CHI;CHIHUAHUA;1
CHS;CHIAPAS;1
CMP;CAMPECHE;1
CMX;CIUDAD DE MEXICO;1
COA;COAHUILA;1
COL;COLIMA;1
DGO;DURANGO;1
GRO;GUERRERO;1
GTO;GUANAJUATO;1
HGO;HIDALGO;1
JAL;JALISCO;1
MCH;MICHOACAN;1
MEX;ESTADO DE MEXICO;1
MOR;MORELOS;1
NAY;NAYARIT;1
NL;NUEVO LEON;1
OAX;OAXACA;1
PUE;PUEBLA;1
QR;QUINTANA ROO;1
QRO;QUERETARO;1
SIN;SINALOA;1
SLP;SAN LUIS POTOSI;1
SON;SONORA;1
TAB;TABASCO;1
TLX;TLAXCALA;1
TMS;TAMAULIPAS;1
VER;VERACRUZ;1
YUC;YUCATAN;1
ZAC;ZACATECAS;1
