Codigo;Nombre;Fk_Id_Estado
;AGUASCALIENTES;1
;ASIENTOS;1
;CALVILLO;1
;COSIO;1
;EL LLANO;1
;JESUS MARIA;1
;PABELLON DE ARTEAGA;1
;RINCON DE ROMOS;1
;SAN FRANCISCO DE LOS ROMO;1
;SAN JOSE DE GRACIA;1
;TEPEZALA;1
;ENSENADA;2
;MEXICALI;2
;PLAYAS DE ROSARITO;2
;TECATE;2
;TIJUANA;2
;COMONDU;3
;LA PAZ;3
;LORETO;3
;LOS CABOS;3
;MULEGE;3
;AHUMADA;4
;ALDAMA;4
;ALLENDE;4
;AQUILES SERDAN;4
;ASCENSION;4
;BACHINIVA;4
;BALLEZA;4
;BATOPILAS DE MANUEL GOMEZ MORIN;4
;BOCOYNA;4
;BUENAVENTURA;4
;CAMARGO;4
;CARICHI;4
;CASAS GRANDES;4
;CHIHUAHUA;4
;CHINIPAS;4
;CORONADO;4
;COYAME DEL SOTOL;4
;CUAUHTEMOC;4
;CUSIHUIRIACHI;4
;DELICIAS;4
;DR. BELISARIO DOMINGUEZ;4
;EL TULE;4
;GALEANA;4
;GOMEZ FARIAS;4
;GRAN MORELOS;4
;GUACHOCHI;4
;GUADALUPE;4
;GUADALUPE Y CALVO;4
;GUAZAPARES;4
;GUERRERO;4
;HIDALGO DEL PARRAL;4
;HUEJOTITAN;4
;IGNACIO ZARAGOZA;4
;JANOS;4
;JIMENEZ;4
;JUAREZ;4
;JULIMES;4
;LA CRUZ;4
;LOPEZ;4
;MADERA;4
;MAGUARICHI;4
;MANUEL BENAVIDES;4
;MATACHI;4
;MATAMOROS;4
;MEOQUI;4
;MORELOS;4
;MORIS;4
;NAMIQUIPA;4
;NONOAVA;4
;NUEVO CASAS GRANDES;4
;OCAMPO;4
;OJINAGA;4
;PRAXEDIS G. GUERRERO;4
;RIVA PALACIO;4
;ROSALES;4
;ROSARIO;4
;SAN FRANCISCO DE BORJA;4
;SAN FRANCISCO DE CONCHOS;4
;SAN FRANCISCO DEL ORO;4
;SANTA BARBARA;4
;SANTA ISABEL;4
;SATEVO;4
;SAUCILLO;4
;TEMOSACHIC;4
;URIQUE;4
;URUACHI;4
;VALLE DE ZARAGOZA;4
;ACACOYAGUA;5
;ACALA;5
;ACAPETAHUA;5
;ALDAMA;5
;ALTAMIRANO;5
;AMATAN;5
;AMATENANGO DE LA FRONTERA;5
;AMATENANGO DEL VALLE;5
;ANGEL ALBINO CORZO;5
;ARRIAGA;5
;BEJUCAL DE OCAMPO;5
;BELLA VISTA;5
;BENEMERITO DE LAS AMERICAS;5
;BERRIOZABAL;5
;BOCHIL;5
;CACAHOATAN;5
;CAPITAN LUIS ANGEL VIDAL;5
;CATAZAJA;5
;CHALCHIHUITAN;5
;CHAMULA;5
;CHANAL;5
;CHAPULTENANGO;5
;CHENALHO;5
;CHIAPA DE CORZO;5
;CHIAPILLA;5
;CHICOASEN;5
;CHICOMUSELO;5
;CHILON;5
;CINTALAPA;5
;COAPILLA;5
;COMITAN DE DOMINGUEZ;5
;COPAINALA;5
;EL BOSQUE;5
;EL PARRAL;5
;EL PORVENIR;5
;EMILIANO ZAPATA;5
;ESCUINTLA;5
;FRANCISCO LEON;5
;FRONTERA COMALAPA;5
;FRONTERA HIDALGO;5
;HUEHUETAN;5
;HUITIUPAN;5
;HUIXTAN;5
;HUIXTLA;5
;IXHUATAN;5
;IXTACOMITAN;5
;IXTAPA;5
;IXTAPANGAJOYA;5
;JIQUIPILAS;5
;JITOTOL;5
;JUAREZ;5
;LA CONCORDIA;5
;LA GRANDEZA;5
;LA INDEPENDENCIA;5
;LA LIBERTAD;5
;LA TRINITARIA;5
;LARRAINZAR;5
;LAS MARGARITAS;5
;LAS ROSAS;5
;MAPASTEPEC;5
;MARAVILLA TENEJAPA;5
;MARQUES DE COMILLAS;5
;MAZAPA DE MADERO;5
;MAZATAN;5
;METAPA;5
;MEZCALAPA;5
;MITONTIC;5
;MONTECRISTO DE GUERRERO;5
;MOTOZINTLA;5
;NICOLAS RUIZ;5
;OCOSINGO;5
;OCOTEPEC;5
;OCOZOCOAUTLA DE ESPINOSA;5
;OSTUACAN;5
;OSUMACINTA;5
;OXCHUC;5
;PALENQUE;5
;PANTELHO;5
;PANTEPEC;5
;PICHUCALCO;5
;PIJIJIAPAN;5
;PUEBLO NUEVO SOLISTAHUACAN;5
